ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308181.0;Bestaand;Allego;2.0;2022-12-01T02:00:00+01:00;St Servaasweg;"{""coordinates"": [5.494235699394951, 51.42704348021067], ""type"": ""Point""}";51.42704348021067, 5.494235699394951
307920.0;Bestaand;;2.0;2022-12-05T02:00:00+01:00;Rietvinkstraat;"{""coordinates"": [5.503353989261199, 51.4424862051962], ""type"": ""Point""}";51.4424862051962, 5.503353989261199
308358.0;;;;;;"{""coordinates"": [5.467902433275129, 51.4355504938527], ""type"": ""Point""}";51.4355504938527, 5.467902433275129
308291.0;Bestaand;OPCHARGE;2.0;2022-10-18T04:00:00+02:00;Atilla;"{""coordinates"": [5.480216867926655, 51.490848004253905], ""type"": ""Point""}";51.490848004253905, 5.480216867926655
307947.0;Bestaand;EVnetNL;2.0;2022-10-31T02:00:00+01:00;Minckelerplein;"{""coordinates"": [5.459022016145026, 51.45669111371407], ""type"": ""Point""}";51.45669111371407, 5.459022016145026
308336.0;Bestaand;OPCHARGE;2.0;2022-11-15T02:00:00+01:00;Italielaan;"{""coordinates"": [5.504868061390343, 51.48502411385078], ""type"": ""Point""}";51.48502411385078, 5.504868061390343
308180.0;Bestaand;Allego;2.0;2022-11-23T02:00:00+01:00;Chopinlaan;"{""coordinates"": [5.452485964228878, 51.42533477943005], ""type"": ""Point""}";51.42533477943005, 5.452485964228878
308344.0;Bestaand;Allego;2.0;2023-01-25T02:00:00+01:00;Karel de Stoutelaan;"{""coordinates"": [5.459969748077271, 51.43010690585734], ""type"": ""Point""}";51.43010690585734, 5.459969748077271
308370.0;Bestaand;OPCHARGE;2.0;2022-12-19T02:00:00+01:00;Diamantring;"{""coordinates"": [5.465322849673076, 51.48703079242336], ""type"": ""Point""}";51.48703079242336, 5.465322849673076
308373.0;Bestaand;OPCHARGE;2.0;2023-01-23T02:00:00+01:00;De Koppele;"{""coordinates"": [5.4904042833047235, 51.47903856356565], ""type"": ""Point""}";51.47903856356565, 5.4904042833047235
307960.0;Bestaand;EVnetNL;2.0;2022-10-19T04:00:00+02:00;Eschweilerhof;"{""coordinates"": [5.476827731347437, 51.47301669286932], ""type"": ""Point""}";51.47301669286932, 5.476827731347437
308324.0;Bestaand;OPCHARGE;2.0;2022-10-26T04:00:00+02:00;Willem de Zwijgerstraat;"{""coordinates"": [5.467903933857212, 51.43555165235104], ""type"": ""Point""}";51.43555165235104, 5.467903933857212
308221.0;Bestaand;OPCHARGE;2.0;2023-01-24T02:00:00+01:00;Keizersgracht;"{""coordinates"": [5.475963998962695, 51.437755083437786], ""type"": ""Point""}";51.437755083437786, 5.475963998962695
308381.0;Bestaand;OPCHARGE;2.0;2023-01-24T02:00:00+01:00;Geert Grootestraat;"{""coordinates"": [5.503929370374701, 51.427227736785504], ""type"": ""Point""}";51.427227736785504, 5.503929370374701
308357.0;Bestaand;Allego;2.0;2023-01-31T02:00:00+01:00;Grashoen;"{""coordinates"": [5.414120918141621, 51.43755077799058], ""type"": ""Point""}";51.43755077799058, 5.414120918141621
308277.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Zanderiger 9;"{""coordinates"": [5.411556497815814, 51.4457066975982], ""type"": ""Point""}";51.4457066975982, 5.411556497815814
307939.0;Bestaand;EVnetNL;2.0;2022-09-21T04:00:00+02:00;Hurksestraat;"{""coordinates"": [5.437966833203779, 51.43346180632584], ""type"": ""Point""}";51.43346180632584, 5.437966833203779
308175.0;Bestaand;Park n charge;2.0;2022-09-21T04:00:00+02:00;Duistervoorde;"{""coordinates"": [5.439287507959001, 51.416786944421204], ""type"": ""Point""}";51.416786944421204, 5.439287507959001
308053.0;Bestaand;Allego;2.0;2022-09-27T04:00:00+02:00;Tomatenstraat;"{""coordinates"": [5.4996936917475825, 51.478127674411176], ""type"": ""Point""}";51.478127674411176, 5.4996936917475825
308283.0;Bestaand;OPCHARGE;2.0;2022-09-28T04:00:00+02:00;Bredalaan;"{""coordinates"": [5.439093970091187, 51.43931689911364], ""type"": ""Point""}";51.43931689911364, 5.439093970091187
308287.0;;Ecotap;2.0;2022-10-19T04:00:00+02:00;Egelstraat;"{""coordinates"": [5.4661053585814345, 51.453600431234335], ""type"": ""Point""}";51.453600431234335, 5.4661053585814345
308012.0;Bestaand;Allego;2.0;2022-10-03T04:00:00+02:00;Fagotstraat;"{""coordinates"": [5.521256628424526, 51.43472930617267], ""type"": ""Point""}";51.43472930617267, 5.521256628424526
307972.0;Bestaand;Allego;2.0;2022-10-03T04:00:00+02:00;Cyclamenstraat;"{""coordinates"": [5.489736001957559, 51.41753539603194], ""type"": ""Point""}";51.41753539603194, 5.489736001957559
308166.0;Bestaand;Park n charge;2.0;2022-10-03T04:00:00+02:00;Messiaenpark;"{""coordinates"": [5.446416152271788, 51.42116702695305], ""type"": ""Point""}";51.42116702695305, 5.446416152271788
308329.0;Bestaand;Park n charge;2.0;2022-10-31T02:00:00+01:00;Douglashout;"{""coordinates"": [5.4550529695499845, 51.45873762502676], ""type"": ""Point""}";51.45873762502676, 5.4550529695499845
308177.0;Bestaand;Park n charge;2.0;2022-11-01T02:00:00+01:00;Getterhof;"{""coordinates"": [5.443522552968417, 51.45072087209465], ""type"": ""Point""}";51.45072087209465, 5.443522552968417
308064.0;Aangevraagde locatie;Allego;2.0;2022-11-01T02:00:00+01:00;Boegstraat;"{""coordinates"": [5.452913321473358, 51.43872408174742], ""type"": ""Point""}";51.43872408174742, 5.452913321473358
308026.0;Bestaand;Allego;2.0;2022-11-15T02:00:00+01:00;Bosboomstraat;"{""coordinates"": [5.498339338180445, 51.43898158875938], ""type"": ""Point""}";51.43898158875938, 5.498339338180445
308339.0;Bestaand;Allego;2.0;2022-11-24T02:00:00+01:00;Uniastate 44;"{""coordinates"": [5.43772110382829, 51.41366971870214], ""type"": ""Point""}";51.41366971870214, 5.43772110382829
307910.0;Bestaand;EVnetNL;2.0;2022-11-30T02:00:00+01:00;Hugo Verrieststraat;"{""coordinates"": [5.47572868727618, 51.43257091854694], ""type"": ""Point""}";51.43257091854694, 5.47572868727618
308129.0;Bestaand;Allego;2.0;2022-10-24T04:00:00+02:00;Muzenlaan (parkeerpl flat);"{""coordinates"": [5.486645031719073, 51.45811323158173], ""type"": ""Point""}";51.45811323158173, 5.486645031719073
308058.0;Bestaand;OPCHARGE;2.0;2022-11-01T02:00:00+01:00;Noord Brabantlaan;"{""coordinates"": [5.4390254431780205, 51.441691269194905], ""type"": ""Point""}";51.441691269194905, 5.4390254431780205
308332.0;Bestaand;OPCHARGE;2.0;2022-11-01T02:00:00+01:00;St. Theresiaplein;"{""coordinates"": [5.440634215117421, 51.438920582356474], ""type"": ""Point""}";51.438920582356474, 5.440634215117421
308369.0;Bestaand;Allego;2.0;2022-12-19T02:00:00+01:00;Rigletto;"{""coordinates"": [5.478813476615223, 51.49108457395787], ""type"": ""Point""}";51.49108457395787, 5.478813476615223
308382.0;Bestaand;Allego;2.0;2023-01-31T02:00:00+01:00;Rosa Manusstraat;"{""coordinates"": [5.469670552186771, 51.4451116000355], ""type"": ""Point""}";51.4451116000355, 5.469670552186771
308398.0;Bestaand;OPCHARGE;2.0;2023-02-14T02:00:00+01:00;Hefveld 30;"{""coordinates"": [5.5173409086203975, 51.44209430557449], ""type"": ""Point""}";51.44209430557449, 5.5173409086203975
308404.0;Bestaand;E-flux;2.0;2023-02-14T02:00:00+01:00;Witsenstraat;"{""coordinates"": [5.519790041419546, 51.43673464238761], ""type"": ""Point""}";51.43673464238761, 5.519790041419546
307988.0;Bestaand;Allego;2.0;2022-10-10T04:00:00+02:00;Gildelaan;"{""coordinates"": [5.476384645980088, 51.447791833597925], ""type"": ""Point""}";51.447791833597925, 5.476384645980088
308122.0;Bestaand;Allego;2.0;2022-10-12T04:00:00+02:00;Ambonplein;"{""coordinates"": [5.51499357689903, 51.44781882424216], ""type"": ""Point""}";51.44781882424216, 5.51499357689903
307982.0;Bestaand;Allego;2.0;2022-10-12T04:00:00+02:00;Morgenroodstraat;"{""coordinates"": [5.525313447553077, 51.449237566171455], ""type"": ""Point""}";51.449237566171455, 5.525313447553077
